ind,key,docs,classification,class,category_map,real_cat,label,scores,real_final,pred_final
872,URLConnection_getDefaultUseCaches,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
874,SQLiteDatabase_setPageSize,exposes methods to manage a sql lite database,sink,SQLiteDatabase,no category,database,database information,0.5022838115692139,database,database
880,NfcF_getSystemCode,provides access to nfc f  properties and i/ o operations on a tag,source,NfcF,nfc information,nfc information,nfc information,0.3207698166370392,nfc,nfc
881,LocationManager_getLastKnownLocation,"this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",source,LocationManager,geolocation,geolocation,geographical location,0.26633143424987793,geolocation,geolocation
888,URLConnection_getHeaderFieldDate,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
890,URLConnection_setRequestProperty,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",sink,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
892,DownloadManager_getMaxBytesOverMobile,"the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",source,DownloadManager,no category,network connection,media,0.15537405014038086,network,media
896,AccountManager_getAccountsByTypeAndFeatures,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
901,NfcAdapter_getDefaultAdapter,represents the local nfc adapter,source,NfcAdapter,nfc information,nfc information,network connection,0.3130166828632355,nfc,network
908,AccountManager_get,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
909,URLConnection_getContentType,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
913,AudioManager_setMicrophoneMute,audio manager provides access to volume and ringer mode control,sink,AudioManager,audio,audio,audio information,0.5372056365013123,audio,audio
917,NfcA_getMaxTransceiveLength,provides access to nfc a  properties and i/ o operations on a tag,source,NfcA,nfc information,nfc information,nfc information,0.31828224658966064,nfc,nfc
922,AudioTrack_getPositionNotificationPeriod,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5860240459442139,audio,audio
923,WifiP2pManager_addLocalService,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
926,ServerSocket_setReuseAddress,"this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",sink,ServerSocket,no category,network connection,network connection,0.5271661281585693,network,network
927,DatagramSocket_getReuseAddress,this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
932,URLConnection_getDate,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
933,NfcAdapter_enableForegroundDispatch,represents the local nfc adapter,sink,NfcAdapter,nfc communication,nfc communication,network connection,0.3130166828632355,nfc,network
938,URLConnection_getHeaderField,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
940,ClassLoader_loadClass,"a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,system settings,file information,0.5631318092346191,system settings,files
943,MediaRecorder_setOutputFile,used to record audio and video  the recording control is based on a simple state machine ,sink,MediaRecorder,files,files,media information,0.38401558995246887,files,media
945,DatagramSocket_getLocalPort,this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
954,CalendarView_getWeekDayTextAppearance,this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,source,CalendarView,calendar information,calendar information,calendar information,0.9322941303253174,calendar,calendar
955,URLConnection_getRequestProperty,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
956,AudioTrack_getAudioSessionId,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5860240459442139,audio,audio
961,SQLiteDatabase_getMaximumSize,exposes methods to manage a sql lite database,source,SQLiteDatabase,database,database,database information,0.5022838115692139,database,database
964,WifiP2pManager_initialize,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",source,WifiP2pManager,network information,network connection,network connection,0.503187358379364,network,network
971,AccessibilityService_getRootInActiveWindow,"accessibility services should only be used to assist users with disabilities in using android devices and apps  they run in the background and receive callbacks by the system when accessibility events are fired  such events denote some state transition in the user interface, for example, the focus has changed, a button has been clicked, etc  such a service can optionally request the capability for querying the content of the active window  development of an accessibility service requires extending this class and implementing its abstract methods",source,AccessibilityService,network information,network connection,media,0.16663402318954468,network,media
972,Calendar_getAvailableLocales,"[icu enhancement] icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.5930222272872925,calendar,calendar
973,NfcA_getSak,provides access to nfc a  properties and i/ o operations on a tag,source,NfcA,nfc information,nfc information,nfc information,0.31828224658966064,nfc,nfc
974,TrafficStats_getTotalTxPackets,"class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.5945941209793091,network,network
976,SSLContext_getInstance,instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network connection,network information,0.272289901971817,network,network
984,MediaMetadataRetriever_getEmbeddedPicture,media metadata retriever class provides a unified interface for retrieving frame and meta data from an input media file,source,MediaMetadataRetriever,no category,media,media information,0.2981867790222168,media,media
986,SpeechRecognizer_startListening,"this class provides access to the speech recognition service  this service allows access to the speech recognizer  do not instantiate this class directly, instead, call speech recognizer create speech recognizer, or speech recognizer create on device speech recognizer  this class's methods must be invoked only from the main application thread",sink,SpeechRecognizer,log,media,audio information,0.37441882491111755,media,audio
990,MifareUltralight_getTimeout,provides access to mifare ultralight properties and i/ o operations on a tag,source,MifareUltralight,nfc information,nfc information,media,0.20966392755508423,nfc,media
992,URLConnection_toString,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
1000,AudioRecord_setNotificationMarkerPosition,"the audio record class manages the audio resources for java applications to record audio from the audio input hardware of the platform  this is achieved by ""pulling""  the data from the audio record object  the application is responsible for polling the audio record object in time using one of the following three methods:  read, read or read  the choice of which method to use will be based on the audio data storage format that is the most convenient for the user of audio record",sink,AudioRecord,audio,audio,audio information,0.47089526057243347,audio,audio
1001,WifiP2pManager_setUpnpServiceResponseListener,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
1004,TrafficStats_getThreadStatsTag,"class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.5945941209793091,network,network
1006,TrafficStats_getTotalRxBytes,"class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.5945941209793091,network,network
1010,CalendarView_getFirstDayOfWeek,this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,source,CalendarView,calendar information,calendar information,calendar information,0.9322941303253174,calendar,calendar
1012,TrafficStats_getMobileRxBytes,"class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.5945941209793091,network,network
1013,AccountManager_confirmCredentials,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
1014,HttpURLConnection_getHeaderFieldDate,a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category,network connection,network information,0.433342307806015,network,network
1015,SQLiteProgram_bindAllArgsAsStrings,a base class for compiled sql lite programs,sink,SQLiteProgram,no category,database,database information,0.45033639669418335,database,database
1022,QuickContactBadge_setMode,widget used to show an image with the standard quick contact badge and on click behavior,sink,QuickContactBadge,contact information,contact information,contact information,0.5990397930145264,contact information,contact information
1023,AudioTrack_getPlaybackHeadPosition,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5860240459442139,audio,audio
1024,AudioTrack_getPlaybackRate,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5860240459442139,audio,audio
1025,ClassLoader_getResource,"a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,system settings,file information,0.5631318092346191,system settings,files
1029,AudioTrack_getAudioFormat,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5860240459442139,audio,audio
1032,TrafficStats_getMobileTxPackets,"class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.5945941209793091,network,network
1033,GregorianCalendar_getGregorianChange,"[icu enhancement] icu's replacement for gregorian calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,GregorianCalendar,calendar information,calendar information,calendar information,0.6298852562904358,calendar,calendar
1034,DatagramSocket_setReuseAddress,this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
1041,SQLiteDatabase_getPath,exposes methods to manage a sql lite database,source,SQLiteDatabase,database,database,database information,0.5022838115692139,database,database
1043,URLConnection_getDoOutput,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
1048,SSLParameters_getNeedClientAuth,"encapsulates parameters for an ssl/ tls connection  the parameters are the list of ciphersuites to be accepted in an ssl/ tls handshake, the list of protocols to be allowed, the endpoint identification algorithm during ssl/ tls handshaking, the server name indication , the algorithm constraints and whether ssl/ tls servers should request or require client authentication, etc",source,SSLParameters,network information,network connection,network information,0.3124198019504547,network,network
1049,URLConnection_getAllowUserInteraction,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
1057,SSLEngine_wrap,"a class which enables secure communications using protocols such as the secure sockets layer  or  ietf rfc 2246 "" transport layer security""   protocols, but is transport independent",source,SSLEngine,network information,network connection,nfc communication,0.13405247032642365,network,nfc
1058,MediaMetadataRetriever_setDataSource,media metadata retriever class provides a unified interface for retrieving frame and meta data from an input media file,sink,MediaMetadataRetriever,files,media,media information,0.2981867790222168,media,media
1059,WebSettings_getDomStorageEnabled,"manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",source,WebSettings,system settings,system settings,media,0.17008742690086365,system settings,media
1061,AudioManager_getStreamVolume,audio manager provides access to volume and ringer mode control,source,AudioManager,no category,audio,audio information,0.5372056365013123,audio,audio
1063,WifiP2pManager_discoverServices,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
1064,URLConnection_getFileNameMap,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
1065,SSLEngine_getPeerHost,"a class which enables secure communications using protocols such as the secure sockets layer  or  ietf rfc 2246 "" transport layer security""   protocols, but is transport independent",source,SSLEngine,network information,network connection,nfc communication,0.13405247032642365,network,nfc
1069,TrafficStats_getMobileRxPackets,"class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.5945941209793091,network,network
1075,URLConnection_getHeaderFieldKey,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
1076,WebSettings_getDatabaseEnabled,"manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",source,WebSettings,system settings,system settings,media,0.17008742690086365,system settings,media
1078,UiModeManager_setNightMode,this class provides access to the system uimode services   these services allow applications to control ui modes of the device  it provides functionality to disable the car mode and it gives access to the night mode settings,sink,UiModeManager,log,system settings,system settings,0.4368226230144501,system settings,system settings
1079,Equalizer_setBandLevel,an equalizer is used to alter the frequency response of a particular music source or of the main output mix,sink,Equalizer,audio,audio,audio information,0.4708689749240875,audio,audio
1080,SmsManager_sendTextMessage,"manages sms operations such as sending data, text, and pdu sms messages  get this object by calling the static method get default  to create an instance of sms manager associated with a specific subscription i d, call get sms manager for subscription id  this is typically used for devices that support multiple active subscriptions at once",sink,SmsManager,text message,system settings,text message,0.19001959264278412,system settings,text message
1089,WifiP2pManager_connect,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
1093,AudioRecord_setPositionNotificationPeriod,"the audio record class manages the audio resources for java applications to record audio from the audio input hardware of the platform  this is achieved by ""pulling""  the data from the audio record object  the application is responsible for polling the audio record object in time using one of the following three methods:  read, read or read  the choice of which method to use will be based on the audio data storage format that is the most convenient for the user of audio record",sink,AudioRecord,audio,audio,audio information,0.47089526057243347,audio,audio
1094,SQLiteDatabase_setVersion,exposes methods to manage a sql lite database,sink,SQLiteDatabase,no category,database,database information,0.5022838115692139,database,database
1095,GregorianCalendar_getGreatestMinimum,gregorian calendar is a concrete subclass of calendar and provides the standard calendar system used by most of the world,source,GregorianCalendar,calendar information,calendar information,calendar information,0.749495804309845,calendar,calendar
1099,SQLiteDatabase_getPageSize,exposes methods to manage a sql lite database,source,SQLiteDatabase,database,database,database information,0.5022838115692139,database,database
1102,IsoDep_getHiLayerResponse,provides access to iso dep  properties and i/ o operations on a tag,source,IsoDep,nfc information,nfc communication,media,0.11158380657434464,nfc,media
1103,URLConnection_getHeaderFieldInt,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
1109,CalendarView_setDate,this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,sink,CalendarView,no category,calendar information,calendar information,0.9322941303253174,calendar,calendar
1110,MifareUltralight_getMaxTransceiveLength,provides access to mifare ultralight properties and i/ o operations on a tag,source,MifareUltralight,nfc information,nfc information,media,0.20966392755508423,nfc,media
1116,URLConnection_getUseCaches,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
1120,HttpURLConnection_getResponseMessage,a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category,network connection,network information,0.433342307806015,network,network
1125,DownloadManager_getRecommendedMaxBytesOverMobile,"the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",source,DownloadManager,no category,network connection,media,0.15537405014038086,network,media
1128,AccountManager_setAuthToken,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
1130,IsoDep_transceive,provides access to iso dep  properties and i/ o operations on a tag,source,IsoDep,nfc information,nfc information,media,0.11158380657434464,nfc,media
1131,URLConnection_getExpiration,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
1133,AudioManager_isMusicActive,audio manager provides access to volume and ringer mode control,source,AudioManager,no category,audio,audio information,0.5372056365013123,audio,audio
1134,CalendarView_getMaxDate,this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,source,CalendarView,calendar information,calendar information,calendar information,0.9322941303253174,calendar,calendar
1135,HttpURLConnection_getResponseCode,a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category,network connection,network information,0.433342307806015,network,network
1137,WifiP2pManager_cancelConnect,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
1138,DatagramSocket_setTrafficClass,this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
1140,BluetoothHeadset_getConnectionState,public api for controlling the bluetooth headset service  this includes both bluetooth headset and handsfree  profiles,source,BluetoothHeadset,bluetooth,bluetooth,bluetooth,0.430423378944397,bluetooth,bluetooth
1147,AudioManager_setSpeakerphoneOn,audio manager provides access to volume and ringer mode control,sink,AudioManager,audio,audio,audio information,0.5372056365013123,audio,audio
1148,Log_wtf,api for sending log output,sink,Log,log,log,logging,0.4664452075958252,log,log
