key,class_name,class_description
BreakIterator_first,break iterator,"[icu enhancement] icu's replacement for breakiterator. methods, fields, and other functionality specific to icu are labeled '[icu]'."
SeekBar_setOnSeekBarChangeListener,seek bar,a seekbar is an extension of progressbar that adds a draggable thumb. the user can touch the thumb and drag left or right to set the current progress level or use the arrow keys. placing focusable widgets to the left or right of a seekbar is discouraged.
GetChars_getChars,get chars,please implement this interface if your charsequence has a getchars() method like the one in string that is faster than calling charat() multiple times.
ZipEntry_getCrc,zip entry,this class is used to represent a zip file entry.
Parser_setErrorHandler,parser,
Effect_release,effect,
PropertyChangeSupport_firePropertyChange,property change support,this is a utility class that can be used by beans that support bound properties.  it manages a list of listeners and dispatches propertychangeevents to them.  you can use an instance of this class as a member field of your bean and delegate these types of work to it. the propertychangelistener can be registered for all properties or for a property specified by name.
DriverManager_getDrivers,driver manager,
DigestInputStream_on,digest input stream,a transparent stream that updates the associated message digest using the bits going through the stream.
UnknownFormatFlagsException_getFlags,unknown format flags exception,unchecked exception thrown when an unknown flag is given.
ContextMenu_setHeaderTitle,context menu,extension of menu for context menus providing functionality to modify the header of the context menu.
Validator_setResourceResolver,validator,
DOMImplementationLS_createLSSerializer,dom implementation l s,domimplementationls contains the factory methods for creating load and save objects.
PictureDrawable_setAlpha,picture drawable,"drawable subclass that wraps a picture, allowing the picture to be used wherever a drawable is supported."
WallpaperService_onCreateEngine,wallpaper service,"a wallpaper service is responsible for showing a live wallpaper behind applications that would like to sit on top of it.  this service object itself does very little    its only purpose is to generate instances of engine as needed.  implementing a wallpaper thus involves subclassing from this, subclassing an engine implementation, and implementing oncreateengine() to return a new instance of your engine."
DOMImplementationList_item,dom implementation list,"the domimplementationlist interface provides the abstraction of an ordered collection of dom implementations, without defining or constraining how this collection is implemented. the items in the domimplementationlist are accessible via an integral index, starting from 0."
RSAPrivateCrtKeySpec_getPrimeP,rsa private crt key spec,"this class specifies an rsa private key, as defined in the pkcs#1 standard, using the chinese remainder theorem (crt) information values for efficiency."
AccessibilityManager_addAccessibilityStateChangeListener,accessibility manager,"system level service that serves as an event dispatch for accessibilityevents, and provides facilities for querying the accessibility state of the system. accessibility events are generated when something notable happens in the user interface, for example an activity starts, the focus or selection of a view changes etc. parties interested in handling accessibility events implement and register an accessibility service which extends accessibilityservice."
DOMSource_setNode,dom source,
MtpStorageInfo_getDescription,mtp storage info,this class encapsulates information about a storage unit on an mtp device. this corresponds to the storageinfo dataset described in section 5.2.2 of the mtp specification.
GpsSatellite_getPrn,gps satellite,
Ringtone_stop,ringtone,"ringtone provides a quick method for playing a ringtone, notification, or other similar types of sounds."
PrintManager_print,print manager,system level service for accessing the printing capabilities of the platform.
ViewSwitcher_reset,view switcher,"viewanimator that switches between two views, and has a factory from which these views are created.  you can either use the factory to create the views, or add them yourself.  a viewswitcher can only have two child views, of which only one is shown at a time."
IdentityScope_identities,identity scope,
BluetoothManager_getDevicesMatchingConnectionStates,bluetooth manager,high level manager used to obtain an instance of an bluetoothadapter and to conduct overall bluetooth management.
CookieSyncManager_getInstance,cookie sync manager,
GregorianCalendar_isLeapYear,gregorian calendar,"[icu enhancement] icu's replacement for gregoriancalendar. methods, fields, and other functionality specific to icu are labeled '[icu]'."
DataSetObservable_notifyChanged,data set observable,a specialization of observable for datasetobserver that provides methods for sending notifications to a list of datasetobserver objects.
DhcpInfo_writeToParcel,dhcp info,a simple object for retrieving the results of a dhcp request.
StringReader_close,string reader,a character stream whose source is a string.
ParameterMetaData_isNullable,parameter meta data,"an object that can be used to get information about the types and properties for each parameter marker in a preparedstatement object. for some queries and driver implementations, the data that would be returned by a parametermetadata object may not be available until the preparedstatement has been executed."
Acl_checkPermission,acl,
ExtractEditText_finishInternalChanges,extract edit text,specialization of edittext for showing and interacting with the extracted text in a full screen input method.
SignalStrength_equals,signal strength,contains phone signal strength related information.
Looper_loop,looper,"class used to run a message loop for a thread.  threads by default do not have a message loop associated with them; to create one, call prepare() in the thread that is to run the loop, and then loop() to have it process messages until the loop is stopped."
BluetoothSocket_getInputStream,bluetooth socket,a connected or connecting bluetooth socket.
DSAKeyPairGenerator_initialize,dsa key pair generator,an interface to an object capable of generating dsa key pairs.
DHPrivateKeySpec_getG,d h private key spec,this class specifies a diffie hellman private key with its associated parameters.
ConditionVariable_open,condition variable,class that implements the condition variable locking paradigm.
LDAPCertStoreParameters_getServerName,l d a p cert store parameters,parameters used as input for the ldap certstore algorithm.
OrientationListener_onOrientationChanged,orientation listener,
WebIconDatabase_getInstance,web icon database,
Checksum_reset,checksum,an interface representing a data checksum.
Gravity_applyDisplay,gravity,standard constants and tools for placing an object within a potentially larger container.
PresetReverb_setPreset,preset reverb,"a sound generated within a room travels in many directions. the listener first hears the direct sound from the source itself. later, he or she hears discrete echoes caused by sound bouncing off nearby walls, the ceiling and the floor. as sound waves arrive after undergoing more and more reflections, individual reflections become indistinguishable and the listener hears continuous reverberation that decays over time. reverb is vital for modeling a listener's environment. it can be used in music applications to simulate music being played back in various environments, or in games to immerse the listener within the game's environment. the presetreverb class allows an application to configure the global reverb using a reverb preset. this is primarily used for adding some reverb in a music playback context. applications requiring control over a more advanced environmental reverb are advised to use the environmentalreverb class."
Subject_setReadOnly,subject,
DrmRights_getData,drm rights,
Pattern_matcher,pattern,a compiled representation of a regular expression.
AnnotatedElement_getAnnotations,annotated element,represents an annotated element of the program currently running in this vm.  this interface allows annotations to be read reflectively.  all annotations returned by methods in this interface are immutable and serializable. the arrays returned by methods of this interface may be modified by callers without affecting the arrays returned to other callers.
RecoverySystem_rebootWipeUserData,recovery system,"recoverysystem contains methods for interacting with the android recovery system (the separate partition that can be used to install system updates, wipe user data, etc.)"
SQLiteClosable_releaseReference,sqlite closable,an object created from a sqlitedatabase that can be closed. this class implements a primitive reference counting scheme for database objects.
BitSet_or,bit set,"this class implements a vector of bits that grows as needed. each component of the bit set has a boolean value. the bits of a bitset are indexed by nonnegative integers. individual indexed bits can be examined, set, or cleared. one bitset may be used to modify the contents of another bitset through logical and, logical inclusive or, and logical exclusive or operations."
JarInputStream_getManifest,jar input stream,the jarinputstream class is used to read the contents of a jar file from any input stream. it extends the class java.util.zip.zipinputstream with support for reading an optional manifest entry. the manifest can be used to store meta information about the jar file and its entries.
TimeUtils_getTimeZone,time utils,a class containing utility methods related to time zones.
InputMethod_bindInput,input method,"the inputmethod interface represents an input method which can generate key events and text, such as digital, email addresses, cjk characters, other language characters, and etc., while handling various input events, and send the text back to the application that requests text input.  see inputmethodmanager for more general information about the architecture."
MergeCursor_unregisterDataSetObserver,merge cursor,"a convenience class that lets you present an array of cursors as a single linear cursor. the schema of the cursors presented is entirely up to the creator of the mergecursor, and may be different if that is desired. calls to getcolumns, getcolumnindex, etc will return the value for the row that the mergecursor is currently pointing at."
StartElementListener_start,start element listener,listens for the beginning of elements.
Html_fromHtml,html,this class processes html strings into displayable styled text. not all html tags are supported.
Locator2Impl_getXMLVersion,locator2 impl,"sax2 extension helper for holding additional entity information, implementing the locator2 interface."
SSLCertificateSocketFactory_getNpnSelectedProtocol,ssl certificate socket factory,
PolicyQualifierInfo_getPolicyQualifierId,policy qualifier info,an immutable policy qualifier represented by the asn.1 policyqualifierinfo structure.
Group_isMember,group,
SparseIntArray_toString,sparse int array,"sparseintarrays map integers to integers.  unlike a normal array of integers, there can be gaps in the indices.  it is intended to be more memory efficient than using a hashmap to map integers to integers, both because it avoids auto boxing keys and values and its data structure doesn't rely on an extra entry object for each mapping."
X509Extension_getNonCriticalExtensionOIDs,x509 extension,
FloatBuffer_isDirect,float buffer,a float buffer.
LockSupport_parkNanos,lock support,basic thread blocking primitives for creating locks and other synchronization classes.
SimpleCursorTreeAdapter_setViewBinder,simple cursor tree adapter,"an easy adapter to map columns from a cursor to textviews or imageviews defined in an xml file. you can specify which columns you want, which views you want to display the columns, and the xml file that defines the appearance of these views. separate xml files for child and groups are possible. binding occurs in two phases. first, if a simplecursortreeadapter.viewbinder is available, viewbinder#setviewvalue(android.view.view, android.database.cursor, int) is invoked. if the returned value is true, binding has occurred. if the returned value is false and the view to bind is a textview, setviewtext(android.widget.textview, java.lang.string) is invoked. if the returned value is false and the view to bind is an imageview, setviewimage(android.widget.imageview, java.lang.string) is invoked. if no appropriate binding can be found, an illegalstateexception is thrown."
MemoryHandler_flush,memory handler,handler that buffers requests in a circular buffer in memory.
MediaActionSound_release,media action sound,
CharsetDecoder_decode,charset decoder,an engine that can transform a sequence of bytes in a specific charset into a sequence of sixteen bit unicode characters.
InputConnection_clearMetaKeyStates,input connection,wrapper class for proxying calls to another inputconnection.
ECFieldFp_getFieldSize,e c field fp,this immutable class defines an elliptic curve (ec) prime finite field.
ECPrivateKey_getS,e c private key,the interface to an elliptic curve (ec) private key.
X509CRLEntry_getSerialNumber,x509 crl entry,
TimeInterpolator_getInterpolation,time interpolator,"a time interpolator defines the rate of change of an animation. this allows animations to have non linear motion, such as acceleration and deceleration."
PropertyChangeListenerProxy_getPropertyName,property change listener proxy,"a class which extends the eventlistenerproxy specifically for adding a propertychangelistener with a ""bound"" property. instances of this class can be added as propertychangelisteners to a bean which supports firing property change events."
ZoomButton_setZoomSpeed,zoom button,
Pack200_newUnpacker,pack200,transforms a jar file to or from a packed stream in pack200 format. please refer to network transfer format jsr 200 specification at http://jcp.org/aboutjava/communityprocess/review/jsr200/index.html
RC5ParameterSpec_getRounds,r c5 parameter spec,this class specifies the parameters used with the rc5 algorithm.
BluetoothGattServerCallback_onCharacteristicWriteRequest,bluetooth gatt server callback,this abstract class is used to implement bluetoothgattserver callbacks.
PBEKey_getPassword,p b e key,the interface to a pbe key.
DocumentBuilder_isValidating,document builder,"defines the api to obtain dom document instances from an xml document. using this class, an application programmer can obtain a document from xml."
PKIXCertPathChecker_clone,p k i x cert path checker,an abstract class that performs one or more checks on an x509certificate.
SuppressWarnings_value,suppress warnings,"indicates that the named compiler warnings should be suppressed in the annotated element (and in all program elements contained in the annotated element).  note that the set of warnings suppressed in a given element is a superset of the warnings suppressed in all containing elements.  for example, if you annotate a class to suppress one warning and annotate a method to suppress another, both warnings will be suppressed in the method."
DSAPrivateKeySpec_getQ,dsa private key spec,this class specifies a dsa private key with its associated parameters.
DOMImplementationSource_getDOMImplementationList,dom implementation source,"this interface permits a dom implementer to supply one or more implementations, based upon requested features and versions, as specified in . each implemented domimplementationsource object is listed in the binding specific list of available sources so that its domimplementation objects are made available."
UndeclaredThrowableException_getUndeclaredThrowable,undeclared throwable exception,thrown by a method invocation on a proxy instance if its invocation handler's invoke method throws a checked exception (a throwable that is not assignable to runtimeexception or error) that is not assignable to any of the exception types declared in the throws clause of the method that was invoked on the proxy instance and dispatched to the invocation handler.
Presentation_onDisplayChanged,presentation,base class for presentations.
SecureCacheResponse_getLocalPrincipal,secure cache response,"represents a cache response originally retrieved through secure means, such as tls."
Adler32_update,adler32,a class that can be used to compute the adler 32 checksum of a data stream. an adler 32 checksum is almost as reliable as a crc 32 but can be computed much faster.
DefaultHandler2_elementDecl,default handler2,"this class extends the sax2 base handler class to support the sax2 lexicalhandler, declhandler, and entityresolver2 extensions.  except for overriding the original sax1 resolveentity() method the added handler methods just return.  subclassers may override everything on a method by method basis."
OffHostApduService_onBind,off host apdu service,
CipherOutputStream_close,cipher output stream,a cipheroutputstream is composed of an outputstream and a cipher so that write() methods first process the data before writing them out to the underlying outputstream.  the cipher must be fully initialized before being used by a cipheroutputstream.
QuoteSpan_getSpanTypeId,quote span,a span which styles paragraphs by adding a vertical stripe at the beginning of the text (respecting layout direction).
EventLog_writeEvent,event log,"access to the system diagnostic event record.  system diagnostic events are used to record certain system level events (such as garbage collection, activity manager state, system watchdogs, and other low level activity), which may be automatically collected and analyzed during system development."
CodeSigner_getTimestamp,code signer,this class encapsulates information about a code signer. it is immutable.
PreferenceGroup_removePreference,preference group,
CertificateFactory_getInstance,certificate factory,"this class defines the functionality of a certificate factory, which is used to generate certificate, certification path (certpath) and certificate revocation list (crl) objects from their encodings."
Geocoder_getFromLocationName,geocoder,"a class for handling geocoding and reverse geocoding. geocoding is the process of transforming a street address or other description of a location into a (latitude, longitude) coordinate. reverse geocoding is the process of transforming a (latitude, longitude) coordinate into a (partial) address. the amount of detail in a reverse geocoded location description may vary, for example one might contain the full street address of the closest building, while another might contain only a city name and postal code. the geocoder class requires a backend service that is not included in the core android framework. the geocoder query methods will return an empty list if there no backend service in the platform. use the ispresent() method to determine whether a geocoder implementation exists."
Flushable_flush,flushable,a flushable is a destination of data that can be flushed.  the flush method is invoked to write any buffered output to the underlying stream.
BackupAgent_onRestore,backup agent,"provides the central interface between an application and android's data backup infrastructure.  an application that wishes to participate in the backup and restore mechanism will declare a subclass of backupagent, implement the onbackup() and onrestore() methods, and provide the name of its backup agent class in its androidmanifest.xml file via the <application> tag's android:backupagent attribute."
Editable_delete,editable,"this is the interface for text whose content and markup can be changed (as opposed to immutable text like strings).  if you make a dynamiclayout of an editable, the layout will be reflowed as the text is changed."
EasyEditSpan_getSpanTypeId,easy edit span,provides an easy way to edit a portion of text.
Equalizer_getBand,equalizer,an equalizer is used to alter the frequency response of a particular music source or of the main output mix.
ExifInterface_getLatLong,exif interface,this is a class for reading and writing exif tags in various image file formats.
NotificationManager_cancel,notification manager,class to notify the user of events that happen.  this is how you tell the user that something has happened in the background.
TransformerException_getException,transformer exception,this class specifies an exceptional condition that occurred during the transformation process.
Runnable_run,runnable,the runnable interface should be implemented by any class whose instances are intended to be executed by a thread. the class must define a method of no arguments called run.
ShareActionProvider_onPrepareSubMenu,share action provider,this is a provider for a share action. it is responsible for creating views that enable data sharing and also to show a sub menu with sharing activities if the hosting item is placed on the overflow menu.
CyclicBarrier_getParties,cyclic barrier,a synchronization aid that allows a set of threads to all wait for each other to reach a common barrier point.  cyclicbarriers are useful in programs involving a fixed sized party of threads that must occasionally wait for each other. the barrier is called cyclic because it can be re used after the waiting threads are released.
DownloadManager_query,download manager,"the download manager is a system service that handles long running http downloads. clients may request that a uri be downloaded to a particular destination file. the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots."
MediaStore_getMediaScannerUri,media store,the contract between the media provider and applications. contains definitions for the supported uris and columns.
SSLSocketFactory_getDefaultCipherSuites,ssl socket factory,sslsocketfactorys create sslsockets.
GenericDeclaration_getTypeParameters,generic declaration,a common interface for all entities that declare type variables.
SQLiteOpenHelper_onCreate,sqlite open helper,a helper class to manage database creation and version management.
EntityResolver2_resolveEntity,entity resolver2,"extended interface for mapping external entity references to input sources, or providing a missing external subset.  the xmlreader.setentityresolver() method is used to provide implementations of this interface to parsers. when a parser uses the methods in this interface, the entityresolver2.resolveentity() method (in this interface) is used instead of the older (sax 1.0) entityresolver.resolveentity() method."
DESKeySpec_getKey,d e s key spec,this class specifies a des key.
RemoteViewsService_onGetViewFactory,remote views service,"the service to be connected to for a remote adapter to request remoteviews.  users should extend the remoteviewsservice to provide the appropriate remoteviewsfactory's used to populate the remote collection view (listview, gridview, etc)."
SynthesisRequest_getCallerUid,synthesis request,contains data required by engines to synthesize speech. this data is:
SpellCheckerService_onBind,spell checker service,spellcheckerservice provides an abstract base class for a spell checker. this class combines a service to the system with the spell checker service interface that spell checker must implement.
TestListener_addFailure,test listener,a listener for test progress
PreferencesFactory_systemRoot,preferences factory,a factory object that generates preferences objects.  providers of new preferences implementations should provide corresponding preferencesfactory implementations so that the new preferences implementation can be installed in place of the platform specific default implementation.
HeterogeneousExpandableList_getGroupType,heterogeneous expandable list,additional methods that when implemented make an expandablelistadapter take advantage of the adapter view type mechanism.
ECPublicKey_getW,e c public key,the interface to an elliptic curve (ec) public key.
LSInput_setByteStream,l s input,this interface represents an input source for data.
MediaMetadataEditor_apply,media metadata editor,
X509TrustManagerExtensions_checkServerTrusted,x509 trust manager extensions,x509trustmanager wrapper exposing android added features.
Format_format,format,selectformat supports the creation of  internationalized messages by selecting phrases based on keywords.
LogManager_reset,log manager,there is a single global logmanager object that is used to maintain a set of shared state about loggers and log services.
TouchDelegate_onTouchEvent,touch delegate,"helper class to handle situations where you want a view to have a larger touch area than its actual view bounds. the view whose touch area is changed is called the delegate view. this class should be used by an ancestor of the delegate. to use a touchdelegate, first create an instance that specifies the bounds that should be mapped to the delegate and the delegate view itself."
ExceptionInInitializerError_getCause,exception in initializer error,signals that an unexpected exception has occurred in a static initializer. an exceptionininitializererror is thrown to indicate that an exception occurred during evaluation of a static initializer or the initializer for a static variable.
DataSource_getConnection,data source,
CertPathValidatorResult_clone,cert path validator result,a specification of the result of a certification path validator algorithm.
WriteAbortedException_getMessage,write aborted exception,signals that one of the objectstreamexceptions was thrown during a write operation.  thrown during a read operation when one of the objectstreamexceptions was thrown during a write operation.  the exception that terminated the write can be found in the detail field. the stream is reset to it's initial state and all references to objects already deserialized are discarded.
NetworkInfo_describeContents,network info,
NativeActivity_surfaceDestroyed,native activity,"convenience for implementing an activity that will be implemented purely in native code.  that is, a game (or game like thing).  there is no need to derive from this class; you can simply declare it in your manifest, and use the ndk apis from there."
PipedReader_ready,piped reader,piped character input streams.
Object_wait,object,"class object is the root of the class hierarchy. every class has object as a superclass. all objects, including arrays, implement the methods of this class."
Test_run,test,a testsuite is a composite of tests.
CertPathBuilder_getInstance,cert path builder,a class for building certification paths (also known as certificate chains).
WifiP2pUpnpServiceRequest_newInstance,wifi p2p upnp service request,a class for creating a upnp service discovery request for use with wifip2pmanager#addservicerequest and wifip2pmanager#removeservicerequest
FileOutputStream_getFD,file output stream,"a file output stream is an output stream for writing data to a file or to a filedescriptor. whether or not a file is available or may be created depends upon the underlying platform.  some platforms, in particular, allow a file to be opened for writing by only one fileoutputstream (or other file writing object) at a time.  in such situations the constructors in this class will fail if the file involved is already open."
TestSuiteBuilder_named,test suite builder,
IllegalFormatConversionException_getMessage,illegal format conversion exception,unchecked exception thrown when the argument corresponding to the format specifier is of an incompatible type.
ContentObserver_dispatchChange,content observer,receives call backs for changes to content. must be implemented by objects which are added to a contentobservable.
BluetoothGattCharacteristic_getUuid,bluetooth gatt characteristic,represents a bluetooth gatt characteristic
WritableByteChannel_write,writable byte channel,a channel that can write bytes.
ScriptIntrinsic3DLUT_setLUT,script intrinsic3 d l u t,
TransitionValues_equals,transition values,"data structure which holds cached values for the transition. the view field is the target which all of the values pertain to. the values field is a map which holds information for fields according to names selected by the transitions. these names should be unique to avoid clobbering values stored by other transitions, such as the convention project:transition_name:property_name. for example, the platform might store a property ""alpha"" in a transition ""fader"" as ""android:fader:alpha""."
LocalSocketAddress_getName,local socket address,"a unix domain (af_local) socket address. for use with android.net.localsocket and android.net.localserversocket. on the android system, these names refer to names in the linux abstract (non filesystem) unix domain namespace."
CipherInputStream_read,cipher input stream,a cipherinputstream is composed of an inputstream and a cipher so that read() methods return data that are read in from the underlying inputstream but have been additionally processed by the cipher.  the cipher must be fully initialized before being used by a cipherinputstream.
WifiP2pServiceInfo_equals,wifi p2p service info,a class for storing service information that is advertised over a wi fi peer to peer setup
Spanned_getSpanEnd,spanned,this is the interface for text that has markup objects attached to ranges of it.  not all text classes have mutable markup or text; see spannable for mutable markup and editable for mutable text.
CharacterPickerDialog_onItemClick,character picker dialog,dialog for choosing accented characters related to a base character.
UiModeManager_enableCarMode,ui mode manager,this class provides access to the system uimode services.  these services allow applications to control ui modes of the device. it provides functionality to disable the car mode and it gives access to the night mode settings.
URLClassLoader_findResources,url class loader,"this class loader is used to load classes and resources from a search path of urls referring to both jar files and directories. any url that ends with a '/' is assumed to refer to a directory. otherwise, the url is assumed to refer to a jar file which will be opened as needed."
JarURLConnection_getJarFileURL,jar url connection,a url connection to a java archive (jar) file or an entry in a jar file.
FileHandler_close,file handler,simple file logging handler.
JSONStringer_key,json stringer,implements jsonobject#tostring and jsonarray#tostring. most application developers should use those methods directly and disregard this api. for example:
EllipticCurve_getSeed,elliptic curve,this immutable class holds the necessary values needed to represent an elliptic curve.
PSource_getAlgorithm,p source,"this class specifies the source for encoding input p in oaep padding, as defined in the pkcs #1 standard."
SQLException_setNextException,sql exception,an exception that provides information on  database access warnings.
WifiConfiguration_toString,wifi configuration,
RSAMultiPrimePrivateCrtKey_getOtherPrimeInfo,rsa multi prime private crt key,"the interface to an rsa multi prime private key, as defined in the pkcs#1 v2.2 standard, using the chinese remainder theorem (crt) information values."
NsdManager_resolveService,nsd manager,"the network service discovery manager class provides the api to discover services on a network. as an example, if device a and device b are connected over a wi fi network, a game registered on device a can be discovered by a game on device b. another example use case is an application discovering printers on the network."
ColorMatrix_preConcat,color matrix,"4x5 matrix for transforming the color and alpha components of a bitmap. the matrix can be passed as single array, and is treated as follows:"
ConsoleHandler_publish,console handler,this handler publishes log records to system.err. by default the simpleformatter is used to generate brief summaries.
RSAPrivateKeySpec_getPrivateExponent,rsa private key spec,this class specifies an rsa private key.
LocalServerSocket_getLocalSocketAddress,local server socket,non standard class for creating an inbound unix domain socket in the linux abstract namespace.
CookieHandler_setDefault,cookie handler,a cookiehandler object provides a callback mechanism to hook up a http state management policy implementation into the http protocol handler. the http state management mechanism specifies a way to create a stateful session with http requests and responses.
ListResourceBundle_getKeys,list resource bundle,listresourcebundle is an abstract subclass of resourcebundle that manages resources for a locale in a convenient and easy to use list. see resourcebundle for more information about resource bundles in general.
DatePicker_setMinDate,date picker,"datepicker is a directly subclass of picker. this class is a widget for selecting a date. the date can be selected by a year, month, and day columns. the ""mindate"" and ""maxdate"" from which dates to be selected can be customized.  the columns can be customized by attribute ""datepickerformat"" or setdatepickerformat(string). r.attr.maxdater.attr.mindater.attr.datepickerformat"
CertSelector_clone,cert selector,a selector that defines a set of criteria for selecting certificates. classes that implement this interface are often used to specify which certificates should be retrieved from a certstore.
GesturePoint_clone,gesture point,a timed point of a gesture stroke. multiple points form a stroke.
UsbManager_openAccessory,usb manager,this class allows you to access the state of usb and communicate with usb devices. currently only host mode is supported in the public api.
Rfc822Token_quoteNameIfNecessary,rfc822 token,"this class stores an rfc 822 like name, address, and comment, and provides methods to convert them to quoted strings."
MtpDeviceInfo_getModel,mtp device info,this class encapsulates information about an mtp device. this corresponds to the deviceinfo dataset described in section 5.1.1 of the mtp specification.
URISyntaxException_getMessage,uri syntax exception,checked exception thrown to indicate that a string could not be parsed as a uri reference.
ECFieldF2m_hashCode,e c field f2m,this immutable class defines an elliptic curve (ec) characteristic 2 finite field.
UserDataHandler_handle,user data handler,"when associating an object to a key on a node using node.setuserdata() the application can provide a handler that gets called when the node the object is associated to is being cloned, imported, or renamed. this can be used by the application to implement various behaviors regarding the data it associates to the dom nodes. this interface defines that handler."
XmlResourceParser_close,xml resource parser,the xml parsing interface returned for an xml resource.  this is a standard xmlpullparser interface but also extends attributeset and adds an additional close() method for the client to indicate when it is done reading the resource.
LocationListener_onLocationChanged,location listener,used for receiving notifications when the device location has changed. these methods are called when the listener has been registered with the locationmanager.
NfcManager_getDefaultAdapter,nfc manager,high level manager used to obtain an instance of an nfcadapter.
InsetDrawable_getPadding,inset drawable,a drawable that insets another drawable by a specified distance or fraction of the content bounds. this is used when a view needs a background that is smaller than the view's actual bounds.
VpnService_protect,vpn service,"vpnservice is a base class for applications to extend and build their own vpn solutions. in general, it creates a virtual network interface, configures addresses and routing rules, and returns a file descriptor to the application. each read from the descriptor retrieves an outgoing packet which was routed to the interface. each write to the descriptor injects an incoming packet just like it was received from the interface. the interface is running on internet protocol (ip), so packets are always started with ip headers. the application then completes a vpn connection by processing and exchanging packets with the remote server over a tunnel."
X500Principal_equals,x500 principal,
ErrorListener_fatalError,error listener,
EventObject_getSource,event object,an event object that provides information about the source of a connection related event.
LogPrinter_println,log printer,implementation of a printer that sends its output to the system log.
TestTarget_conceptName,test target,
RtpStream_getLocalAddress,rtp stream,
LoginFilter_filter,login filter,
X509EncodedKeySpec_getEncoded,x509 encoded key spec,"this class represents the asn.1 encoding of a public key, encoded according to the asn.1 type subjectpublickeyinfo. the subjectpublickeyinfo syntax is defined in the x.509 standard as follows:"
CrossProcessCursorWrapper_fillWindow,cross process cursor wrapper,cursor wrapper that implements crossprocesscursor.
EditTextPreference_shouldDisableDependents,edit text preference,
AccessibleObject_isAnnotationPresent,accessible object,"the accessibleobject class is the base class for field, method and constructor objects.  it provides the ability to flag a reflected object as suppressing default java language access control checks when it is used.  the access checks  for public, default (package) access, protected, and private members  are performed when fields, methods or constructors are used to set or get fields, to invoke methods, or to create and initialize new instances of classes, respectively."
MockApplication_onCreate,mock application,
UUID_getMostSignificantBits,u u i d,a class that represents an immutable universally unique identifier (uuid). a uuid represents a 128 bit value.
EffectFactory_createEffect,effect factory,
Locator_getColumnNumber,locator,interface for associating a sax event with a document location.
LoaderManager_destroyLoader,loader manager,
InputStreamReader_read,input stream reader,"an inputstreamreader is a bridge from byte streams to character streams: it reads bytes and decodes them into characters using a specified charset.  the charset that it uses may be specified by name or may be given explicitly, or the platform's default charset may be accepted."
OutputStreamWriter_flush,output stream writer,"an outputstreamwriter is a bridge from character streams to byte streams: characters written to it are encoded into bytes using a specified charset.  the charset that it uses may be specified by name or may be given explicitly, or the platform's default charset may be accepted."
PBEKeySpec_getSalt,p b e key spec,a user chosen password that can be used with password based encryption (pbe).
Observer_update,observer,
PhoneNumberFormattingTextWatcher_afterTextChanged,phone number formatting text watcher,watches a textview and if a phone number is entered will format it.
MediaFormat_createSubtitleFormat,media format,"encapsulates the information describing the format of media data, be it audio or video, as well as optional feature metadata."
RecognizerIntent_getVoiceDetailsIntent,recognizer intent,constants for supporting speech recognition through starting an intent
KeyPair_getPublic,key pair,"this class is a simple holder for a key pair (a public key and a private key). it does not enforce any security, and, when initialized, should be treated like a privatekey."
CharacterData_replaceData,character data,"the characterdata interface extends node with a set of attributes and methods for accessing character data in the dom. for clarity this set is defined here rather than on each object that uses these attributes and methods. no dom objects correspond directly to characterdata, though text and others do inherit the interface from it. all offsets in this interface start from 0."
Lock_unlock,lock,"lock implementations provide more extensive locking operations than can be obtained using synchronized methods and statements.  they allow more flexible structuring, may have quite different properties, and may support multiple associated condition objects."
GenericArrayType_getGenericComponentType,generic array type,genericarraytype represents an array type whose component type is either a parameterized type or a type variable.
SignedObject_getObject,signed object,
NodeList_item,node list,"the nodelist interface provides the abstraction of an ordered collection of nodes, without defining or constraining how this collection is implemented. nodelist objects in the dom are live."
DHParameterSpec_getP,d h parameter spec,"this class specifies the set of parameters used with the diffie hellman algorithm, as specified in pkcs #3: diffie hellman key agreement standard."
KeyPairGenerator_generateKeyPair,key pair generator,the keypairgenerator class is used to generate pairs of public and private keys. key pair generators are constructed using the getinstance factory methods (static methods that return instances of a given class).
AssetManager_openFd,asset manager,provides access to an application's raw asset files; see resources for the way most applications will want to retrieve their resource data. this class presents a lower level api that allows you to open and read raw files that have been bundled with the application as a simple stream of bytes.
ScanResult_writeToParcel,scan result,scanresult for bluetooth le scan.
PluginStub_getEmbeddedView,plugin stub,this interface is used to implement plugins in a webview. a plugin package may extend this class and implement the abstract functions to create embedded or fullscreeen views displayed in a webview. the pluginstub implementation will be provided the same npp instance that is created through the native interface.
SourceLocator_getLineNumber,source locator,this interface is primarily for the purposes of reporting where an error occurred in the xml source or transformation instructions.
CacheResponse_getBody,cache response,"represent channels for retrieving resources from the responsecache. instances of such a class provide an inputstream that returns the entity body, and also a getheaders() method which returns the associated response headers."
